tagname	description
LMAM_HC132#_NDPT01---_TPI	Pomiar cisnienia
LMAM_HC132#_NDXRPI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC132#_WPFT01---_TFI	Pomiar przeplywu
LMAM_HC132#_WPXRFI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC151B_NDPT01---_TPI	Cisnienie ND dla HC-151B.PT01
LMAM_HC151B_WPFT01---_TFI	Przeplyw WP dla HC-151B.FT01
LMAM_HC151B_WPXRFI1--_PV	Wart. mierz. przepl. WP dla HC-151B
LMAM_HC201#_NDPT01---_TPI	Cisnienie ND dla HC-201B.PT01
LMAM_HC201#_WPFT01---_TFI	Przeplyw WP dla HC-201B.FT01
LMAM_HC201#_WPXRFI1--_PV	Wart. mierz. przepl. WP dla HC-201B
LMAM_HC201-_NDXSDI16-_PV	Wart. mierz. gęst. ND dla HC-201
LMAM_HC201-_NDXSDI8--_PV	MillVis Wartosc mierzona ges HC201
LMAM_HC201A_NDDT01---_TDI	Gęstość nadawy dla HC-201A
LMAM_HC201A_NDPT01---_TPI	Ciśnienie nadawy dla HC-201A.PT01
LMAM_HC201A_NDXRPI1--_PV	Wart. mierzona ciśnienia nadawy dla HC-201A
LMAM_HC201A_PL-------_TPS	Średnie uziarnienie dla HC-201A
LMAM_HC201A_PLDT01---_TDI	Gęstość przelewu dla HC-201A
LMAM_HC201A_PLKL90---_TPG	Uziarnienie dla HC-201A.KL90
LMAM_HC201A_WL-------_TAN	Kąt strumienia dla HC-201A
LMAM_HC201A_WPFT01---_TFI	Przepływ WP dla HC-201A.FT01
LMAM_HC201A_WPXRFI1--_PV	Wart. mierz. przepł. WP dla HC-201A
LMAM_HC201B_NDDT01---_TDI	Pomiar gestosci
LMAM_HC201B_NDFT01---_TFI	Pomiar przeplywu
LMAM_HC201B_NDPT01---_TPI	Pomiar cisnienia
LMAM_HC201B_NDXRDI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC201B_NDXRFI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC201B_NDXRPI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC201B_WPFT01---_TFI	Pomiar przeplywu
LMAM_HC201B_WPXRFI1--_PV	Wartosc mierzona skalowana min-max
LMAM_HC212-_NDXSDI16-_PV	Wart. mierz. gęst. ND dla HC-212
LMAM_HC212-_NDXSDI8--_PV	MillVis Wartosc mierzona ges HC212
LMAM_HC212-_NDXSFI8--_PV	MillVis Wartosc mierzona prz HC212
